Song lists of different weeks
List of songs 
Number of Songs Read in: 197 
Total Views: 251020789 

Track Name                                                             Artist Name                    Views                     Appears                   
1999                                                                   Charli XCX                     712495                    1                         
2002                                                                   Anne-Marie                     1119802                   1                         
7 Am Freestyle                                                         Future                         947551                    1                         
9.13                                                                   Khalid                         1094556                   1                         
Africa                                                                 TOTO                           698526                    1                         
Ain't Livin Right (feat. Gunna)                                        Future                         718044                    1                         
All Girls Are The Same                                                 Juice WRLD                     823784                    1                         
All I Am                                                               Jess Glynne                    797278                    1                         
Always Remember Us This Way                                            Lady Gaga                      1261017                   1                         
Amigos Con Derechos                                                    Reik                           1156665                   1                         
Asesina                                                                Brytiago                       939696                    1                         
Astronauts                                                             Future                         1274757                   1                         
Back To You - From 13 Reasons Why – Season 2 Soundtrack                Selena Gomez                   961017                    1                         
Be Alright                                                             Dean Lewis                     2168249                   1                         
Beautiful (feat. Camila Cabello)                                       Bazzi                          1569967                   1                         
BEBE                                                                   6ix9ine                        2024009                   1                         
Believer                                                               Imagine Dragons                1062443                   1                         
Better                                                                 Khalid                         3411739                   1                         
Better Now                                                             Post Malone                    2073921                   1                         
Blow That Smoke (feat. Tove Lo)                                        Major Lazer                    837748                    1                         
Body (feat. brando)                                                    Loud Luxury                    1332679                   1                         
Bohemian Rhapsody - 2011 Mix                                           Queen                          911423                    1                         
Born To Be Yours                                                       Kygo                           860128                    1                         
breathin                                                               Ariana Grande                  1150791                   1                         
Celoso                                                                 Lele Pons                      852155                    1                         
changes                                                                XXXTENTACION                   1230424                   1                         
Clandestino                                                            Shakira                        898257                    1                         
Closer                                                                 The Chainsmokers               732669                    1                         
Congratulations                                                        Post Malone                    796656                    1                         
Consequences - orchestra                                               Camila Cabello                 756259                    1                         
Cry Alone                                                              Lil Peep                       1059165                   1                         
Cuando Te Besé                                                         Becky G                        1455781                   1                         
Culpables                                                              KAROL G                        967931                    1                         
Darkside                                                               Alan Walker                    706165                    1                         
Diamond Heart                                                          Alan Walker                    768952                    1                         
Different (feat. Yung Bans)                                            Future                         847580                    1                         
Don't Cry (feat. XXXTENTACION)                                         Lil Wayne                      710484                    1                         
