List of all songs together
List of songs 
Number of Songs Read in: 495 
Total Views: 1177538085 

Track Name                                                             Artist Name                    Views                     Appears                   
1999                                                                   Charli XCX                     712495                    1                         
2002                                                                   Anne-Marie                     1119802                   1                         
223's (feat. 9lokknine)                                                YNW Melly                      5400709                   2                         
25/8                                                                   Bad Bunny                      1543840                   1                         
3 Nights                                                               Dominic Fike                   707402                    2                         
3am                                                                    Halsey                         2544946                   1                         
6 Kiss                                                                 Trippie Redd                   2178398                   1                         
7 Am Freestyle                                                         Future                         947551                    1                         
7 rings                                                                Ariana Grande                  1084704                   3                         
9.13                                                                   Khalid                         1094556                   1                         
<3                                                                     Bad Bunny                      1339027                   1                         
A Tu Merced                                                            Bad Bunny                      1705518                   1                         
Adicto (with Anuel AA & Ozuna)                                         Tainy                          742127                    2                         
Adore You                                                              Harry Styles                   2423505                   3                         
Africa                                                                 TOTO                           698526                    1                         
After Hours                                                            The Weeknd                     2355056                   1                         
Ain't Livin Right (feat. Gunna)                                        Future                         718044                    1                         
Alfred - Interlude                                                     Eminem                         8030151                   2                         
Alfred - Outro                                                         Eminem                         1844104                   1                         
All Girls Are The Same                                                 Juice WRLD                     823784                    2                         
All I Am                                                               Jess Glynne                    797278                    1                         
All I Want - From High School Musical: The Musical: The Series         Olivia Rodrigo                 5432071                   2                         
All of Me                                                              John Legend                    755185                    1                         
Always Remember Us This Way                                            Lady Gaga                      1261017                   1                         
Amigos Con Derechos                                                    Reik                           1156665                   1                         
Armed And Dangerous                                                    Juice WRLD                     1962200                   1                         
Asesina                                                                Brytiago                       939696                    1                         
Ashley                                                                 Halsey                         2201515                   1                         
Astronauts                                                             Future                         1274757                   1                         
Aventura                                                               Lunay                          762328                    2                         
Ayy Macarena                                                           Tyga                           838359                    3                         
Baby (Lil Baby feat. DaBaby)                                           Quality Control                2535418                   1                         
Back To You - From 13 Reasons Why – Season 2 Soundtrack                Selena Gomez                   961017                    1                         
bad guy                                                                Billie Eilish                  2186471                   3                         
Ballin' (with Roddy Ricch)                                             Mustard                        1277760                   3                         
Bandit (with YoungBoy Never Broke Again)                               Juice WRLD                     1005261                   3                         
